Sold to Party Number,Sold to Country/State,Bill to Party Acct,Bill to party Country/State,Ship to Party Number,Ship to Country/State,End Customer Number,Mock MPN,Mock Plant,Mock Manufacturer,Plant Materal - Supplier Lead Time (Key),ATP Date,Cust Required date,Order Qty,Remaining qty,Ext Resale,Unit Price
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN1,Plant 1,MFR1,70,44946,44883,13,13,786.66,60.51230769
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN2,Plant 1,MFR1,70,44946,44883,13,13,568.75,43.75
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN3,Plant 1,MFR1,70,44946,44883,13,13,793.48,61.03692308
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN4,Plant 1,MFR1,70,44946,44883,13,13,793.48,61.03692308
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN5,Plant 1,MFR1,70,44946,44883,13,13,793.48,61.03692308
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN6,Plant 1,MFR1,70,44946,44883,13,13,793.48,61.03692308
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN7,Plant 1,MFR1,777,45678,44872,1,1,50,50
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN8,Plant 1,MFR1,70,44979,44883,13,13,793.48,61.03692308
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN9,Plant 1,MFR1,126,45076,44910,15,15,730.1,48.67333333
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN10,Plant 1,MFR1,126,45076,44900,15,15,730.1,48.67333333
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN11,Plant 1,MFR1,126,45076,44910,15,15,748.61,49.90733333
Customer 17740,Ontario,Customer 17740,CA/ON,Customer 17740,Ontario,Customer 17740,MPN12,Plant 1,MFR1,126,45076,44910,15,15,730.1,48.67333333
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN15,Plant 1,MFR2,777,,44782,2500,2500,2087.25,0.8349
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN15,Plant 1,MFR2,777,,44841,2500,2500,2087.25,0.8349
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN19,Plant 1,MFR2,777,44998,44915,75,55,3605.8,65.56
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN19,Plant 1,MFR2,777,44998,44916,175,175,11473,65.56
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN20,Plant 1,MFR2,280,45233,44816,2500,2500,45375,18.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN20,Plant 1,MFR2,280,45233,44914,2500,2500,45375,18.15
